id,experiment,rep,tissue,sex,age,mating_status
RN1,1,1,YO,F,,M
RN2,1,1,OO,F,,M
RN3,1,1,AB,F,,M
RN4,1,1,YO,F,,V
RN5,1,1,OO,F,,V
RN6,1,1,AB,F,,V
RN7,1,1,TE,M,,M
RN8,1,1,AG,M,,M
RN9,1,1,AB,M,,M
RN10,1,2,YO,F,,M
RN11,1,2,OO,F,,M
RN12,1,2,AB,F,,M
RN13,1,2,YO,F,,V
RN14,1,2,OO,F,,V
RN15,1,2,AB,F,,V
RN16,1,2,TE,M,,M
RN17,1,2,AG,M,,M
RN18,1,2,AB,M,,M
RN19,1,3,YO,F,,M
RN20,1,3,OO,F,,M
RN21,1,3,AB,F,,M
RN22,1,3,YO,F,,V
RN23,1,3,OO,F,,V
RN24,1,3,AB,F,,V
RN25,1,3,TE,M,,M
RN26,1,3,AG,M,,M
RN27,1,3,AB,M,,M
RN28,1,1,EG,,,V
RN29,1,2,EG,,,V
RN30,1,3,EG,,,V
RN31,1,1,EG,,,M
RN32,1,2,EG,,,M
RN33,1,3,EG,,,M
RN34,2,1,AB,F,,
RN35,2,2,AB,F,,
RN36,2,3,AB,F,,
RN37,2,1,EG,,1,
RN38,2,1,EG,,2,
RN39,2,1,EG,,3,
RN40,2,1,EG,,4,
RN41,2,1,EG,,8,
RN42,2,1,EG,,12,
RN43,2,1,EG,,24,
RN44,2,2,EG,,1,
RN45,2,2,EG,,2,
RN46,2,2,EG,,3,
RN47,2,2,EG,,4,
RN48,2,2,EG,,8,
RN49,2,2,EG,,12,
RN50,2,2,EG,,24,
RN51,2,3,EG,,1,
RN52,2,3,EG,,2,
RN53,2,3,EG,,3,
RN54,2,3,EG,,4,
RN55,2,3,EG,,8,
RN56,2,3,EG,,12,
RN57,2,3,EG,,24,
