Frogspawn sample id,Temperature13,Temperature18,Temperature25
1,26,NA,NA
2,NA,21,NA
3,NA,NA,18
4,26,NA,NA
5,NA,22,NA
6,NA,NA,14
7,27,NA,NA
8,NA,22,NA
9,NA,NA,15
10,27,NA,NA
11,NA,21,NA
12,NA,NA,15
13,26,NA,NA
14,NA,21,NA
15,NA,NA,16
16,27,NA,NA
17,NA,20,NA
18,NA,NA,16
19,27,NA,NA
20,NA,19,NA
21,NA,NA,17
22,25,NA,NA
23,NA,21,NA
24,NA,NA,17
25,26,NA,NA
26,NA,23,NA
27,NA,NA,17
28,28,NA,NA
29,NA,21,NA
30,NA,NA,17
31,28,NA,NA
32,NA,21,NA
33,NA,NA,18
34,26,NA,NA
35,NA,22,NA
36,NA,NA,14
37,27,NA,NA
38,NA,22,NA
39,NA,NA,15
40,27,NA,NA
41,NA,21,NA
42,NA,NA,15
43,26,NA,NA
44,NA,20,NA
45,NA,NA,16
46,27,NA,NA
47,NA,20,NA
48,NA,NA,16
49,27,NA,NA
50,NA,19,NA
51,NA,NA,17
52,25,NA,NA
53,NA,21,NA
54,NA,NA,17
55,26,NA,NA
56,NA,23,NA
57,NA,NA,17
58,28,NA,NA
59,NA,21,NA
60,NA,NA,17
61,27,NA,NA
62,NA,21,NA
63,NA,NA,999
