id,experiment,rep,tissue,sex,age,mating_status
RN34,2,1,AB,F,NA,NA
RN35,2,2,AB,F,NA,NA
RN36,2,3,AB,F,NA,NA
RN37,2,1,EG,NA,1,NA
RN38,2,1,EG,NA,2,NA
RN39,2,1,EG,NA,3,NA
RN40,2,1,EG,NA,4,NA
RN41,2,1,EG,NA,8,NA
RN42,2,1,EG,NA,12,NA
RN43,2,1,EG,NA,24,NA
RN44,2,2,EG,NA,1,NA
RN45,2,2,EG,NA,2,NA
RN46,2,2,EG,NA,3,NA
RN47,2,2,EG,NA,4,NA
RN48,2,2,EG,NA,8,NA
RN49,2,2,EG,NA,12,NA
RN50,2,2,EG,NA,24,NA
RN51,2,3,EG,NA,1,NA
RN52,2,3,EG,NA,2,NA
RN53,2,3,EG,NA,3,NA
RN54,2,3,EG,NA,4,NA
RN55,2,3,EG,NA,8,NA
RN56,2,3,EG,NA,12,NA
RN57,2,3,EG,NA,24,NA
