Taxa,Mean.time.Ma,Femur,Humerus
Brachiosaurus.altithorax,151.15,2.03,2.33
Ampelosaurus.atacis,69.05,0.8033,0.65
Malawisaurus.dixeyi,113.4,0.95,0.705
Alamosaurus.sanjuanensis,69.05,1.61,1
Saltasaurus.loricatus,74.8,0.9,0.63
Europasaurus.holgeri,154.7,0.43,0.45
Neuquensaurus.australis,74.8,0.797,0.58
Magyarosaurus.dacus,69.05,0.525,0.385
Euhelopus.zdanskyi,121.9,0.95,0.91
Andesaurus.delgadoi.?,103.45,1.55,1.35
Cedarosaurus.weiskopfae.?,128.55,1.39,1.38
Opisthocoelicaudia.skarzynskii.?,74.8,1.39,1
Chubutisaurus.insignis.?,119.65,1.71,1.46
Diamantinasaurus.matildae.?,103.45,1.33,1.12
Paluxysaurus.jonesi.?,113.4,1.52,1.29
Phuwiangosaurus.sirindhornae?_,121.9,1,0.866
Giraffatitan.brancai,151.15,1.55,1.6
Epachtosaurus.sciuttoi.?,95.15,1.09,0.93
Bonatitan.reigi.?,74.8,0.56,0.35
Tehuelchesaurus.benitezii.?,160.4,1.5,1.08
